Aachen Hbf;06:15-22:30
Aalen;Mo-Fr 07:50-12:00, 12:45-18:10; Sa 08:50-13:40, 14:25-19:10; Su 08:50-13:45, 14:45-21:10
Altenbeken;08:15-17:45
Ansbach;Mo-Sa 06:50-18:50; Su 08:15-20:15
Aschaffenburg;06:00-22:00
Augsburg;06:00-23:15
Aulendorf;Mo-Fr 06:30-16:45; Sa, Su 08:15-18:00
Bad Kreuznach;Mo 08:00-20:00; Di-Su 08:00-13:45, 14:30-20:00
Baden-Baden;Mo-Sa 06:00-22:30; Su 08:00-20:00
Bamberg;Mo-Sa 05:00-22:30; Su 06:00-22:30
Basel Bad Bf;00:00-24:00
Bayreuth;07:00-19:00
Berlin Alexanderplatz;06:00-22:30
Berlin Friedrichstraße;06:00-22:30
Berlin Gesundbrunnen;06:00-22:30
Berlin Hbf;00:00-24:00
Berlin-Lichtenberg;Mo 06:00-22:00; Di-Do 09:00-18:00; Fr 06:00-22:00; Sa, Su 09:00-18:00
Berlin Ostbahnhof;06:00-22:30
Berlin Ostkreuz;06:00-22:30
Berlin Potsdamer Platz;06:00-22:30
Flughafen BER-Terminal 1-2;06:00-22:30
Berlin-Spandau;06:00-22:30
Berlin Südkreuz;06:00-22:30
Berlin-Wannsee;06:00-22:30
Berlin Zool. Garten;06:00-22:30
Bielefeld Hbf;06:00-22:30
Bietigheim-Bissingen;Mo-Fr 06:15-20:00; Sa 07:30-12:00, 12:30-18:00; Su 09:15-12:00, 12:30-20:00
Bochum Hbf;06:20-22:15
Bonn Hbf;06:00-22:30
Braunschweig Hbf;06:00-22:30
Bremen Hbf;06:00-23:45
Bremerhaven Hbf;08:00-19:45
Bruchsal;Mo-Sa 06:00-21:15; Su 09:15-21:15
Buchloe;07:15-21:00
Chemnitz Hbf;06:00-22:00
Coburg;06:30-18:30
Cottbus Hbf;06:00-22:30
Crailsheim;Mo-Sa 08:05-12:45, 13:30-18:40; Su 09:05-13:45, 14:45-20:40
Darmstadt Hbf;Mo-Fr 06:15-22:15; Sa 08:45-18:45; Su 08:45-18:45
Delmenhorst;08:00-17:45
Dessau;08:00-18:00
Donauwörth;06:00-19:00
Dortmund Hbf;00:00-24:00
Dresden Hbf;06:00-24:00
Dresden-Neustadt;06:00-22:00
Düsseldorf Flughafen;06:45-13:30, 14:15-22:00
Düsseldorf Hbf;00:00-24:00
Duisburg Hbf;06:00-22:30
Eckernförde;Mo, Fr 09:30-13:30; Di 09:30-17:30; Mi, Do 09:30-15:30
Eisenach;06:00-22:30
Elmshorn;Mo-Fr 05:30-22:00; Sa 08:30-18:30; Su 11:00-21:00
Emden Hbf;08:00-18:30
Erfurt Hbf;06:00-22:45
Erlangen;07:00-19:00
Essen Hbf;00:00-24:00
Flensburg;08:00-20:00
Frankfurt (Main) Hbf;00:00-24:00
Frankfurt (Main) Flughafen Fernbahnhof;00:00-24:00
Frankfurt (Main) Flughafen Regionalbahnhof;06:10-22:15
Frankfurt (Main) Süd;06:10-22:15
Frankfurt (Oder);Mo-Sa 06:00-22:30; Su 06:30-22:30
Freiburg (Brsg);06:00-24:00
Freilassing;Mo-Fr 06:30-18:30; Sa 07:30-19:30; Su 08:00-20:00
Friedberg (Hess);Mo 06:40-19:20; Di-Fr 07:10-18:50; Sa 08:10-17:50; Su 09:10-18:50
Friedrichshafen;Mo-Sa 08:15-19:00; Su 08:15-20:00
Fürth;07:00-19:00
Fulda;06:10-22:20
Garmisch-Partenkirchen;Mo-Fr 06:30-22:00; Sa-Su 07:00-22:00
Gelsenkirchen Hbf;06:20-22:15
Gera Hbf;06:00-20:00
Gießen;06:10-22:20
Görlitz;Mo 06:00-19:00; Di-Do 08:00-18:00; Fr 06:00-19:00; Sa-Su 08:00-18:00
Göttingen;06:00-22:30
Hagen;06:00-22:30
Halle (Saale)Hbf;06:00-22:30
Hamburg-Altona;06:00-22:30
Hamburg-Dammtor;06:00-22:30
Hamburg-Harburg;06:00-22:30
Hamburg Hbf;00:00-24:00
Hamm Hbf;06:30-22:00
Hanau Hbf;06:10-22:15
Hannover Hbf;00:00-24:00
Heide (Holst);08:00-20:00
Heidelberg Hbf;06:00-24:00
Heilbronn Hbf;Mo-Sa 06:00-22:00; Su 08:00-12:45, 13:30-20:00
Herford;Mo-Fr 07:15-17:15; Sa 07:15-13:00; Su 09:15-17:15
Hildesheim Hbf;06:00-22:30
Hof Hbf;07:00-19:00
Homburg (Saar) Hbf;Di-Do, Sa+Su 08:50-18:50; Mo, Fr 08:05-19:50
Husum;08:00-20:00
Ingolstadt Hbf;06:00-22:15
Jena Paradies;08:00-18:00
Kaiserslautern Hbf;Mo-Fr 07:10-20:30; Sa 08:15-19:30; Su 08:15-19:30
Karlsruhe Hbf;06:00-24:00
Kassel-Wilhelmshöhe;06:10-22:20
Kempten;08:00-13:45, 14:30-20:00
Kiel Hbf;06:00-22:30
Koblenz Hbf;06:10-22:20
Köln Hbf;00:00-24:00
